"","ID","Estimate.50DC","group","outlierr","Fungicide"
"1","1029",0.178570236289458,"Fungicide field trials",0.120441620996458,"Boscalid"
"2","H-01",0.120441620996458,"Fungicide field trials",0.120441620996458,"Boscalid"
"3","1345",0.131812244147778,"Fungicide field trials",0.120441620996458,"Boscalid"
"4","1541",0.157018562866274,"Farmer fields",0.157018562866274,"Boscalid"
"5","1692",0.138987713076127,"Fungicide field trials",0.120441620996458,"Boscalid"
"6","1713",0.155471786562275,"Fungicide field trials",0.120441620996458,"Boscalid"
"7","456",0.164637266500334,"Farmer fields",0.157018562866274,"Boscalid"
"8","1087",0.0165305508549959,"Fungicide field trials",0.0165305508549959,"Picoxystrobin"
"9","1872",0.0212886636582055,"Farmer fields",0.0174950107156267,"Picoxystrobin"
"10","1884",0.0218855411687111,"Farmer fields",0.0174950107156267,"Picoxystrobin"
"11","51C",0.0174950107156267,"Farmer fields",0.0174950107156267,"Picoxystrobin"
"12","53B",0.0178924339850153,"Farmer fields",0.0174950107156267,"Picoxystrobin"
"13","54C",0.0216458615782467,"Farmer fields",0.0174950107156267,"Picoxystrobin"
"14","1029",1.35232492336569,"Fungicide field trials",1.35232492336569,"Tetraconazole"
"15","1135",1.80526925601675,"Fungicide field trials",1.35232492336569,"Tetraconazole"
"16","1732",1.57388655235111,"Fungicide field trials",1.35232492336569,"Tetraconazole"
"17","2131",1.99456595116755,"Farmer fields",1.99456595116755,"Tetraconazole"
